"y","x"
250,573
254,570
260,565
262,564
268,559
271,558
274,556
279,551
282,550
286,548
288,547
291,545
294,543
297,542
300,541
304,538
308,537
314,535
319,533
326,531
328,530
334,528
339,526
350,524
357,523
360,522
368,521
378,517
383,515
393,514
399,513
402,512
413,512
416,512
423,512
430,511
436,510
442,510
448,510
455,510
461,510
469,511
476,512
484,512
493,513
500,514
508,516
515,517
523,520
526,522
533,524
541,528
549,531
557,534
566,537
574,541
580,544
587,547
591,551
595,555
599,558
603,562
609,566
612,570
616,574
618,578
621,584
624,587
625,589
628,594
631,598
634,606
634,608
637,616
638,618
640,625
641,627
643,633
646,638
648,643
650,648
652,652
655,658
658,662
659,666
662,671
666,680
668,683
669,688
671,691
673,695
674,697
675,703
676,705
677,713
678,716
679,722
679,727
679,734
680,742
680,750
681,759
681,767
681,775
681,785
681,794
680,804
679,816
677,828
675,838
673,846
671,851
669,859
663,872
660,880
658,883
654,890
650,898
646,904
643,908
640,912
637,916
634,919
631,921
628,924
624,927
622,929
619,931
614,932
610,935
604,940
598,945
595,946
586,953
582,956
575,959
570,963
558,971
551,977
547,980
542,984
537,987
533,990
528,993
524,994
520,996
517,997
515,998
509,999
507,1000
502,1001
496,1002
491,1003
485,1004
479,1005
473,1007
470,1007
460,1009
457,1009
448,1011
437,1012
433,1012
424,1013
417,1014
410,1015
403,1015
396,1016
390,1016
387,1016
379,1016
377,1016
369,1016
366,1015
359,1014
357,1014
351,1013
342,1012
338,1011
330,1010
327,1009
319,1006
315,1004
310,1002
305,1000
300,998
296,996
291,994
287,993
283,991
280,989
276,986
272,984
268,982
266,981
261,978
259,976
253,973
251,971
245,967
243,966
240,962
234,956
233,955
230,951
227,947
224,944
221,940
219,937
217,933
215,929
212,925
208,918
207,914
203,904
201,901
197,894
196,892
193,885
192,883
188,874
186,870
184,864
181,856
180,854
178,850
177,845
174,840
173,835
172,829
171,823
171,817
171,811
170,806
170,801
170,796
169,791
169,786
169,784
169,776
169,774
169,766
169,763
169,758
169,754
169,751
169,746
169,741
169,736
169,731
169,726
169,720
169,714
169,707
170,701
171,695
171,689
172,681
173,675
174,670
175,660
176,658
178,650
179,649
181,644
182,643
184,639
186,636
188,631
190,628
192,625
195,620
198,617
201,613
202,610
208,604
210,601
215,597
220,593
224,589
229,582
237,573
243,565
247,561
257,552
260,549
267,544
278,533
283,529
290,523
298,516
305,511
313,507
320,503
325,499
332,497
337,496
341,495
346,494
351,493
356,493
360,492
364,492
367,492
372,493
377,493
382,494
384,494
388,496
393,496
397,497
402,498
407,499
413,500
418,501
423,502
