"y","x"
235,949
231,945
227,942
224,940
220,937
217,936
215,934
212,932
208,928
205,925
201,921
199,918
196,914
193,911
191,908
190,907
188,904
186,901
185,898
184,895
183,893
182,891
181,888
180,887
179,884
178,881
176,876
175,873
174,868
172,865
171,861
171,859
170,853
169,849
168,847
167,842
166,840
166,832
166,825
166,822
166,814
165,811
164,805
164,799
163,793
163,786
163,779
163,773
162,767
161,761
161,755
161,749
161,742
161,739
161,730
161,727
161,719
162,712
163,704
163,700
165,687
166,682
168,675
171,664
172,661
174,657
176,652
178,648
180,645
182,642
184,639
186,636
188,634
190,631
192,630
194,629
195,628
199,623
200,622
204,616
206,614
211,607
212,606
216,602
223,594
225,591
231,582
238,575
243,568
249,563
256,557
261,552
268,546
275,540
284,534
291,527
298,523
301,521
308,515
316,510
329,501
332,499
340,495
348,488
360,481
365,479
377,476
380,474
387,474
395,471
402,470
409,469
415,468
420,468
426,468
431,469
437,469
441,470
447,472
452,475
455,477
465,482
468,484
475,487
479,489
485,492
490,496
495,500
500,502
508,507
511,509
517,512
523,515
530,519
537,523
546,528
555,534
564,539
573,544
